"","ATS.VI","TKA.VI","POST.VI","DOC.VI","AMAG.VI","UQA.VI","LNZ.VI","VER.VI","SEM.VI","WXF.VI","OMV.VI","SBO.VI","RBI.VI","AGR.VI","FLU.VI","WOL.VI","PYT.VI","CAI.VI","EBS.VI","VIG.VI","IIA.VI","STR.VI","ROS.VI","ZAG.VI"
"97",15.18,6.43,44.869999,77.5,32.23,9.341,64.599998,14.745,37.970001,0.91,27.030001,59.16,14.34,20.375462,20.6,21.644363,8.215,15.565,25.969999,34.990002,25.110001,21.705,77.610001,25.629999
"98",15.495,6.52,44.970001,78.519997,31.74,9.253,64.190002,14.855,37.505001,0.934,25.809999,59.459999,14.53,20.141718,20.5525,21.858288,8.15,15.93,26.955,35.200001,25.09,21.525,77.199997,25.719999
"99",15.465,6.475,44.919998,78.199997,31.975,8.981,61.459999,14.585,37,0.929,25.764999,60.25,13.95,20.18399,20.637501,21.94861,8.35,16.209999,26.42,35.16,24.719999,21.76,77.160004,25.290001
"100",15.48,6.464,44.93,78.32,30,8.922,60.580002,14.59,36.810001,0.928,25.85,60.32,14,20.18399,20.459999,21.962872,8.29,16.440001,26.415001,34.610001,24.25,21.77,76,25.02
"101",15.58,6.349,45.174999,82.300003,30.405001,8.891,60.419998,14.465,36.310001,0.906,25.43,59.669998,13.695,20.268536,20.440001,21.677641,8.21,16.440001,25.969999,34.610001,24.33,21.709999,73.629997,24.68
"102",15.265,6.384,45.075001,79.309998,30.785,9,61.990002,14.325,37.220001,0.905,26.424999,61.889999,13.895,20.266048,20.512501,21.677641,8.294,16.33,26.4,34.549999,24.190001,21.700001,74,24.424999
"103",15.34,6.397,44.900002,81.279999,30.83,9.111,63.09,14.5,37.105,0.913,26.32,62.740002,14.02,20.166584,20.594999,21.839272,8.295,15.99,26.75,34.134998,24.35,21.77,73.919998,24.67
"104",15.28,6.268,44.634998,80.5,30.715,8.956,63.529999,13.92,37.049999,0.905,25.875,61.349998,13.715,20.166584,20.355,21.839272,8.337,15.83,25.754999,33.5,23.620001,21.559999,74.029999,24.120001
"105",14.385,6.2,44.285,76.18,30.27,8.452,61.639999,13.76,36.82,0.884,25.084999,60.459999,13.24,20.266048,20.424999,21.6301,8.2,15.8,25.055,33.255001,23.219999,21.25,73.849998,24.200001
"106",14.26,6.15,43.73,75.699997,30.4,8.532,61.73,13.59,37.099998,0.87,25.025,62.959999,13.175,20.589312,20.65,21.6301,7.987,15.655,25.434999,32.610001,22.85,21.424999,73.730003,24.219999
"107",14.51,6.136,44.599998,77.790001,30.674999,8.575,62.5,13.905,37.150002,0.855,25.785,65.970001,13.5,20.999605,20.475,21.867794,7.95,15.765,26,33.439999,23.450001,21.379999,73.75,24.295
"108",14.57,6.173,44.244999,77.720001,30.945,8.558,61.799999,13.645,38.919998,0.86,25.049999,63.950001,13.27,21.017012,20.4725,21.867794,7.98,15.69,25.98,32.400002,23.110001,21.525,73.5,24.450001
"109",14.27,5.971,43.855,76.440002,30.629999,8.386,61.549999,13.68,38.785,0.86,24.85,62.48,12.97,21.012039,20.282499,21.867794,7.875,15.745,25.4,32.035,22.68,21.200001,74,24.33
"110",13.89,5.736,43.099998,75.519997,30.645,8.1,60.93,13.415,37.110001,0.855,24.155001,62.25,12.405,20.519686,19.7575,21.867794,7.855,15.605,24.795,31.075001,22.35,20.84,75.5,24.139999
"111",13.95,5.52,42.735001,77.43,30.690001,8.22,61.610001,13.28,37.154999,0.849,24.370001,61.869999,12.75,20.517199,20,21.867794,7.8,15.66,25.200001,31.4,22.52,20.74,75.300003,23.424999
"112",13.59,5.513,42.355,77.230003,30.690001,8.079,62.43,13.39,37.855,0.857,24.584999,61.810001,12.71,20.594284,20.014999,21.772717,7.661,15.735,24.955,31.5,21.93,20.5,74.5,22.65
"113",13.5,5.688,41.59,78,30.799999,8.025,63.77,13.36,37.650002,0.854,24.639999,61.509998,12.815,20.639044,19.987499,21.772717,7.73,15.51,25.35,31.76,21.9,20.24,74.160004,23.26
"114",13.975,5.759,42.200001,79.5,30.41,8.002,64.660004,13.415,38.485001,0.826,24.615,64.43,12.855,20.02236,19.762501,21.677641,7.88,15.59,25.365,31.65,21.35,20.004999,74,23.905001
"115",14.245,5.812,42.764999,83.699997,31.389999,8.275,67.449997,13.6,37.700001,0.849,25.18,63.650002,13.72,20.261076,19.875,22.105488,7.92,15.95,26.66,32.459999,22.139999,20.105,75.25,25
"116",14.15,5.9,42.290001,84,31.17,8.4,66.529999,12.995,38.355,0.84,25.58,65.720001,13.83,19.935328,19.934999,22.105488,8.05,16.184999,26.709999,32.5,22.299999,20.219999,75.599998,24.75
"117",13.915,5.915,42,84.57,31.395,8.336,66.220001,13.075,37.794998,0.846,25.535,59.700001,13.9,19.945274,19.945,21.729933,7.95,16.405001,26.66,32.060001,22.299999,20.325001,75.5,25.215
"118",13.745,5.95,42,84.449997,31.4,8.199,66.010002,13.165,37.294998,0.833,25.514999,57.029999,13.65,20.213831,19.955,21.715672,7.8,16.17,26.49,31.959999,22.08,20.299999,75.57,26.799999
"119",13.7,5.95,41.814999,85,31.4,8.291,66.220001,13.195,37.465,0.829,25.415001,55.380001,13.845,19.865702,19.887501,21.677641,8,16.275,26.629999,32.060001,22.35,20.235001,76.099998,27.379999
"120",13.325,5.911,41.525002,84.379997,31.4,8.078,64.860001,13.13,37.095001,0.82,24.610001,54.860001,12.87,19.893053,19.525,21.411423,7.908,15.735,25.610001,30.85,21.299999,20.35,76.099998,26.26
"121",12.99,5.936,41.264999,84.050003,31.4,8.089,63.900002,13.04,37,0.832,24.68,54.23,13.05,19.671743,19.455,21.392408,7.88,15.65,25.475,30.775,21.120001,20.02,75.650002,26.655001
"122",13.9,5.89,41.560001,83.779999,32.5,8.067,66.160004,13.03,37.314999,0.825,24.395,53.25,13.525,20.017385,19.557501,21.6301,7.99,16,26.309999,31.285,21.549999,20.4,76,27.15
"123",13.41,5.842,41.139999,83.330002,32.549999,8.01,65.599998,13.105,37.814999,0.81,24.51,52.75,13.3,20.246157,19.4725,21.111929,7.851,15.625,26.075001,31.495001,21.24,20.4,75.019997,26.555
"124",13.8,5.773,40.855,82.410004,32.59,8.042,65.650002,13.065,36.965,0.819,24.365,51.740002,13.115,20.335674,19.4175,21.178482,7.706,15.865,25.879999,31.135,21.379999,20.475,75,26.5
"125",13.9,5.77,40.450001,83.57,32.575001,7.914,64.720001,12.915,36.674999,0.81,23.775,50.099998,12.64,20.258589,19.280001,21.145206,7.74,15.59,24.975,30.389999,20.940001,20.4,73.5,26.055
"126",13.41,5.763,40.805,83.699997,32.595001,7.746,64.699997,12.605,35.990002,0.79,22.959999,49.139999,12.29,20.258589,19.442499,21.107176,7.75,15.64,24.725,29.879999,20.51,20.15,72.25,25.540001
"127",13.7,5.727,40.560001,83.480003,33,7.793,64.059998,12.645,35.700001,0.807,23.59,50.25,12.355,19.584711,19.475,21.107176,7.57,15.935,25.035,30.225,20.940001,20.25,70.199997,26.004999
"128",14.19,5.764,40.700001,84.970001,32.990002,7.923,65.709999,13.38,36.48,0.813,24.450001,52.23,13.045,19.602119,19.512501,21.197498,7.7,15.935,25.950001,30.764999,21.25,20.5,71.699997,26.084999
"129",14.255,5.726,41.105,85.720001,33,8.05,65.629997,14.03,36.060001,0.816,24.9,52.959999,13.62,19.577251,19.967501,21.102423,7.8,16.32,26.469999,31.735001,21.870001,20.799999,76,26.98
"130",14.335,5.816,40.919998,87.940002,33.5,8.171,66.489998,14.005,38.174999,0.821,25.235001,55.049999,13.635,19.641905,19.950001,21.102423,7.794,16.940001,27.26,32.105,22.41,21.264999,76,27.33
"131",14.41,5.881,41.080002,87.360001,33.799999,8.127,66.230003,13.84,38.145,0.819,24.700001,55.02,13.9,19.149551,19.525,21.264053,7.7,16.889999,27.35,32.285,22.42,21.450001,76.5,28.09
"132",14.25,5.87,41.299999,90,33.990002,8.07,67.129997,13.775,38.18,0.815,24.815001,54.16,13.805,19.29129,19.525,20.993082,7.689,16.620001,27.190001,32.049999,22.190001,21.98,77.489998,28.195
"133",14.55,5.884,41.200001,91.139999,33.990002,8.08,68.5,13.97,38.990002,0.854,25.235001,55,14.15,19.848295,19.6,21.107176,7.77,16.764999,27.305,32.669998,22.370001,22.25,75.760002,29.15
"134",14.605,5.885,41,91.5,33.98,7.995,68.269997,13.98,38.599998,0.849,25.155001,54.799999,14.21,19.495193,19.907499,21.107176,7.799,16.82,27.35,32.41,22.559999,22.25,76.190002,29.389999
"135",15.2,5.966,41.18,91.589996,33.73,8.125,69.559998,13.775,39,0.844,25.25,52.32,14.17,19.355942,20.23,20.96456,7.885,16.91,27.6,32.514999,22.549999,22.915001,77.5,29.889999
"136",15.35,6.133,40.860001,91.120003,33.900002,8.279,68.760002,13.545,39,0.829,25.1,51.860001,13.99,19.355942,20.1425,21.14996,7.77,16.99,27.629999,32.349998,22.57,22.85,79.739998,29.280001
"137",15.2,6.224,40.610001,90.080002,34,8.263,68.519997,13.745,38,0.835,24.629999,52,13.865,19.435514,20.0075,21.211761,7.975,16.9,27.805,32.02,22.450001,22.855,79,29.155001
"138",14.92,6.186,40.705002,88.410004,34,8.337,68.150002,13.85,39,0.846,24.754999,53.049999,13.915,19.435514,19.950001,21.211761,7.95,16.799999,27.799999,32.110001,22.23,22.9,82.099998,28.9
"139",14.76,6.106,40.59,89.779999,33.900002,8.292,68.339996,13.9,39.91,0.834,24.674999,52.75,13.58,19.544926,19.907499,21.050129,7.95,16.799999,27.639999,31.719999,22.299999,22.950001,81,28.365
"140",14.84,6.059,40.215,88.769997,33.895,8.243,67.57,13.75,37.564999,0.8,24.030001,51.91,13.18,19.400702,19.764999,21.154715,7.918,16.645,26.889999,31.225,22,22.075001,77.309998,27.950001
"141",15.655,6.07,40.299999,90.18,33.900002,8.436,66.779999,13.95,37.700001,0.826,23.76,50.02,13.2,19.641905,19.7075,21.154715,7.906,16.565001,27.5,31.620001,22.07,22.184999,77.410004,28.02
"142",15.485,6.074,40.474998,92.25,33.895,8.355,66.110001,14.08,37.900002,0.809,23.995001,50.259998,13.185,19.64439,19.605,21.154715,7.8,16.434999,27.379999,31.674999,21.98,22.174999,78.410004,28.525
"143",15.42,6.086,40.599998,96.919998,33.799999,8.476,66.400002,13.99,37.564999,0.801,24.17,50.830002,13.18,19.64439,19.627501,21.192745,7.711,16.4,27.305,31.790001,22.129999,21.995001,79,28.254999
"144",15.425,6.164,40.650002,95.019997,33.674999,8.6,66.360001,14.095,37.814999,0.826,24.225,51.470001,13.3,19.64439,19.625,21.268806,7.8,16.35,27.290001,31.389999,22.33,22.094999,79,28.4
"145",15.49,6.131,40.650002,96.5,33.599998,8.523,66.459999,13.895,38.34,0.8,23.709999,51.619999,13.365,19.706556,19.627501,21.268806,7.9,16.66,27.809999,31.684999,21.32,22.27,79.150002,29.415001
"146",15.8,6.122,40.549999,96,34.195,8.442,66.870003,13.7,38.055,0.795,23.639999,50.529999,12.95,19.768723,19.75,21.121437,7.82,16.559999,27.645,31.565001,21.26,22.684999,78.989998,28.549999
"147",16.344999,6.119,40.709999,94.379997,33.994999,8.481,67.129997,14.025,38.215,0.79,23.790001,50.16,13.1,19.773697,19.809999,20.945543,8.254,16.709999,27.915001,31.825001,22.01,22.65,78.43,28.075001
"148",16,6.095,40.5,94.650002,34.330002,8.389,66.43,13.96,38.450001,0.791,23.575001,49.285,12.525,19.773697,19.745001,21.292576,8.17,16.450001,27.57,32.005001,22.309999,22.639999,79.489998,28
"149",15.875,5.995,40.209999,93.25,34.34,8.311,65.57,13.85,38.384998,0.784,23.83,49.014999,12.31,19.470327,19.737499,21.249792,8.134,16.360001,28.33,31.68,23.450001,22.5,78.610001,27.725
"150",15.955,5.989,40.009998,91.639999,34.32,8.4,65.370003,13.84,38.110001,0.8,23.559999,48.549999,12.51,19.316156,19.797501,21.173731,8.143,16.594999,28.665001,32.105,23.959999,22.514999,79.660004,27.885
"151",15.805,5.979,38.875,93.300003,34.900002,8.318,64.5,13.655,37.950001,0.772,23.209999,47.82,12.51,19.246531,19.75,21.297331,8.19,16.5,28.545,31.51,23.690001,22.565001,78.779999,28.5
"152",15.11,5.94,38.68,91,34.689999,8.174,62.439999,13.455,38.165001,0.769,23.790001,46.43,12.1,19.246531,19.747499,21.207006,7.8,16.360001,27.67,30.684999,23.459999,22.1,75,28
"153",15.685,5.977,38.98,90,35,8.267,63.549999,13.45,38,0.778,23.879999,45.02,12.045,19.20923,19.75,21.207006,7.9,16.66,28.469999,30.815001,23.68,22.155001,75,28.535
"154",15.725,5.944,38.849998,86.800003,34.799999,8.128,63.580002,13.27,38.25,0.767,24,45.119999,11.9,19.147064,19.75,21.207006,7.792,16.844999,28.42,30.379999,23.879999,22.215,74,28.82
"155",15.6,5.853,38.5,86.699997,34.904999,8.06,64.139999,13.32,37.900002,0.774,24.035,44.860001,12.015,19.149551,19.719999,21.207006,7.8,16.91,28.42,30.4,23.559999,22.09,74.169998,28.105
"156",15.45,5.806,37.935001,85.800003,34.490002,8.048,64.190002,13.455,38,0.75,24.200001,43.950001,12.165,19.147064,20.014999,21.107176,7.8,16.950001,28.620001,30.52,23.709999,22.200001,75.400002,28
"157",14.965,5.763,35.105,87.400002,34.130001,7.95,62.709999,13.355,37.639999,0.745,23.735001,43.470001,13,19.109764,19.9125,21.306837,7.77,16.790001,28.58,29.945,23.639999,22.299999,76.5,27.23
"158",14.72,5.717,35.689999,85.199997,34.540001,7.812,60.639999,13.12,37.32,0.732,23.355,43.049999,12.65,18.87105,20,21.306837,7.799,16.375,27.35,29.605,22.889999,21.915001,76,26.459999
"159",14.4,5.55,34.799999,83.900002,34.5,7.32,59.619999,12.82,35.990002,0.74,22.74,45,12.41,19.184364,20,21.140453,7.51,15.88,26,28.950001,22.110001,21.725,74.050003,26.17
"160",13.545,5.297,33.509998,75.290001,33,7.106,55.16,12.47,33.959999,0.73,21.155001,44,11.565,18.774071,20,20.299019,7,15.3,24.75,27.605,21.299999,21.33,71.489998,25.360001
"161",14.39,5.398,33.580002,80,33.490002,7.34,61.080002,12.88,35.674999,0.729,21.575001,45.349998,11.77,19.147064,19.975,21.083406,7.1,15.79,26.08,28.450001,22.049999,21.639999,72.5,26.91
"162",14,5.436,33.404999,78.190002,33.5,7.335,60,12.635,34.939999,0.715,21.715,46.5,11.565,18.677092,20,21.107176,7.374,15.59,25.775,28.674999,21.66,21.67,74,25.875
"163",14.3,5.549,34.23,83.400002,33.650002,7.5,62.049999,12.93,34.955002,0.724,22.575001,48.25,12.5,18.900888,20.02,20.955051,7.481,17.235001,26.66,29.465,22.4,22.235001,74.900002,26.030001
"164",14.3,5.46,34.66,83.900002,33.474998,7.453,61.400002,12.9,35,0.725,22.575001,46.599998,12.5,18.152412,20.0975,20.983576,7.307,16.450001,25.690001,29.205,22.139999,22.040001,69.25,27.4
"165",14.2,5.541,34.334999,84,34.5,7.449,61.990002,12.605,34.900002,0.72,22.84,48.700001,12.07,18.401075,20.4,20.983576,7.385,16.594999,26.555,29.219999,22.209999,22.115,73.050003,25.68
"166",13.85,5.458,33.915001,79,34.150002,7.198,60.529999,12.485,33.215,0.72,22.52,50.16,11.545,18.930729,20.25,20.679327,7.4,16.32,26.125,28,21.6,21.65,73,25.094999
"167",14.11,5.393,33.715,78.089996,34.005001,7.132,61.25,12.405,32.610001,0.723,22.540001,49.599998,11.6,19.112251,20.25,20.955051,7.4,16.1,25.975,27.780001,21.1,21.715,71.099998,24.895
"168",14.38,5.544,34.540001,77.800003,34,7.405,61.59,12.44,31.809999,0.727,22.955,50.189999,11.93,19.107279,20.299999,20.955051,7.499,16.200001,26.455,28.245001,21.08,21.59,72.120003,25.700001
"169",14,5.419,33.830002,77.150002,34,7.171,60.66,12.1,32.360001,0.726,22.315001,49.16,11.54,18.701958,20.225,20.917021,7.5,15.9,25.610001,27.440001,21.02,21.200001,72,24.610001
"170",13.72,5.407,33.605,76.839996,33.599998,7.155,60.990002,11.715,31.6,0.719,22.23,48.950001,11.475,18.898401,20.407499,20.917021,7.5,16,26.045,27.24,20.85,21.530001,72.75,23.775
"171",13.545,5.407,33.755001,77.82,33.599998,7.254,63.27,11.7,31.945,0.714,22.17,48.009998,11.67,18.701958,20.395,20.917021,7.575,15.985,27.055,27.469999,20.9,21.629999,72,22
"172",13.95,5.365,33.380001,76.800003,33.599998,7.323,63.950001,11.71,32.240002,0.726,22.209999,49,12.1,18.866076,20.32,20.917021,7.6,16.145,27.18,27.58,20.700001,21.4,72.389999,22.014999
"173",14.095,5.342,33.360001,75.5,33.599998,7.371,63.900002,11.755,31.32,0.724,21.684999,48.799999,11.805,18.898401,20.4175,20.917021,7.65,16.405001,26.875,27.285,20.41,21.625,72.419998,22.115
"174",14.055,5.372,32.360001,75.940002,33.595001,7.245,62.75,11.695,31.549999,0.73,21.5,48.5,11.78,18.774071,20.4475,20.917021,7.688,16.34,26.540001,27.15,20.18,21.465,70.699997,21.155001
"175",14.245,5.305,32.724998,75,33.294998,7.189,62.5,11.71,31.225,0.73,21.530001,48.950001,11.72,18.774071,20.75,20.917021,7.65,16.4,26.405001,27.049999,20.389999,21.405001,72.860001,20.985001
"176",13.83,5.295,32.759998,75.690002,33.650002,7.177,62.610001,11.775,31.35,0.72,21.885,49.400002,11.875,18.808884,20.717501,20.917021,7.65,16.18,26.455,27.15,20.549999,21.545,71.419998,21
"177",13.8,5.291,32.775002,76.389999,33.599998,7.288,62.75,11.65,31.48,0.706,22.459999,50.869999,12.02,18.99538,20.6975,20.917021,7.68,16.07,26.530001,27.549999,20.719999,21.43,72,21.075001
"178",13.78,5.315,32.509998,76.300003,33.154999,7.45,66.410004,11.835,32.195,0.699,22.620001,51.689999,11.765,18.915808,20.594999,20.917021,7.7,15.96,26.584999,27.65,20.74,21.344999,72.050003,19.805
"179",13.52,5.232,32.529999,76.160004,32.599998,7.47,66.400002,11.62,31.33,0.69,21.84,51.400002,11.295,18.973001,20.549999,20.62228,7.552,15.675,25.6,27.055,21.309999,21.084999,71.5,19.6
"180",13.495,5.308,32.375,76.699997,33.650002,7.5,67.099998,11.725,30.76,0.69,21.844999,51.560001,11.395,18.848669,20.625,20.764896,7.25,15.83,25.52,26.924999,21.469999,21.25,71.800003,19.5
"181",12.92,5.264,31.525,75.790001,33.200001,7.416,66.25,11.585,29,0.701,21.469999,50.630001,11.215,19.393242,20.575001,20.517696,6.999,15.995,25.190001,26.209999,20.77,20.82,71.099998,18.889999
"182",13.04,5.2,31.42,75.300003,33.200001,7.505,65.730003,11.7,28.42,0.7,21.485001,50.790001,11.195,19.393242,20.475,20.917021,7.019,16.295,25.440001,26.135,20.59,20.965,71.68,18.969999
"183",12.8,5.048,30.184999,72.900002,33.099998,7.388,63.549999,11.605,28.1,0.708,21.135,49.805,11.29,19.258963,20.102501,20.817188,6.824,16.225,25.379999,25.715,20.200001,20.415001,69.860001,18.33
"184",13.395,5.102,30.49,73.5,33.099998,7.676,66.199997,11.785,28.475,0.708,21.450001,49.900002,11.48,19.147064,20.2925,20.831451,6.89,16.4,25.709999,26.045,20.33,20.629999,71.190002,19.094999
"185",13.075,5.05,29.700001,74,32.75,7.471,65.75,11.995,27.07,0.699,21.01,49.814999,10.96,19.17193,20.407499,20.489174,6.54,16.305,25.17,25.514999,19.9,20.325001,71.800003,18.91
"186",13.1,5.05,29.985001,71.800003,32.290001,7.484,66.440002,11.75,27.6,0.69,21.254999,50.150002,10.9,18.948133,20.469999,20.550974,6.745,16.145,25.68,25.870001,20.030001,19.700001,71.610001,19.205
"187",13.17,5.045,30.68,72.5,31.98,7.75,67.07,11.87,27.125,0.706,21.73,50.439999,11.71,18.948133,20.1775,20.90276,6.809,16.469999,25.940001,26.35,20.6,20.139999,72.330002,19.665001
"188",13.06,5.037,30.5,73.620003,31.65,7.86,67.120003,11.935,27.4,0.711,22.075001,50.91,11.675,18.803909,20.557501,20.726866,6.749,16.254999,25.735001,26.094999,20.33,20,74.559998,19.48
"189",13.06,4.96,30.559999,75.32,31.700001,8.027,66.699997,12.185,28.25,0.712,22.665001,50.720001,11.66,19.169445,20.625,20.817188,6.684,15.985,25.535,26.700001,20.33,20.315001,73.25,19.434999
"190",13.235,5.015,31.495001,76.459999,31.98,8.172,66.480003,12.405,29.025,0.719,23.344999,52.580002,12.555,19.358429,20.620001,20.679327,6.68,16.6,25.959999,27.375,21.290001,20.514999,74.459999,19.834999
"191",13.92,5.017,31.809999,76.900002,32.035,8.07,66.419998,12.42,29.469999,0.728,24.1,56.439999,13.12,19.393242,20.504999,20.698343,6.774,16.690001,25.969999,27.615,22.1,20.91,74.25,20.465
"192",14.2,5.008,31.645,79.440002,32.5,8.106,66.260002,12.495,30.535,0.747,24.370001,57.080002,13.65,19.393242,20.377501,20.912268,6.997,16.395,26.52,27.975,22.110001,20.9,75.050003,20.445
"193",14.35,5.061,32.099998,78.720001,31.799999,8.054,66.150002,12.395,30.02,0.737,24.59,58.41,13.585,19.393242,20.225,20.917021,6.94,16.280001,26.09,28.625,22.42,21.040001,76.470001,21.07
